iso3,country,concord_label,who_region,wb_income_2014,brain_adult_5yr_pct,glioblastoma_5yr_pct,glioblastoma_flag,diffuse_anap_astro_5yr,oligodendroglioma_5yr,concord_flag_less_reliable,concord_flag_not_age_std,high_quality_subset,oop_pct_che,gov_pct_che,che_pct_gdp,che_pc_ppp_usd,nurses_per_1000,physicians_per_1000,gdp_pc_ppp_usd,log_gdp_pc_ppp_usd,life_expectancy,radiotherapy_units_per_million,radiotherapy_year,oral_morphine_available_2013,radiotherapy_meets_iaea,morphine_consumption_mg_per_capita,right_to_health_in_constitution,icescr_ratified
ESP,Spain,Spain (ten registries),EUR,HIC,27.4,7.6,,30.1,47.6,0,0,0,22.61186409,71.970048905,9.1858692175,2946.629607760128,5.329000000000001,3.7864999999999998,32075.930755144575,10.375861207149947,82.4018292682927,4.15539,2013,1,1,15.32,1,1
EST,Estonia,Estonia*,EUR,HIC,31.0,11.5,,45.8,39.5,0,0,1,22.871720789999998,74.279188155,6.221116067500001,1554.2932351841,6.33825,3.28925,25085.08718746265,10.130028812593503,76.28170731707314,2.33055,2013,1,1,9.64,1,1
FIN,Finland,Finland*,EUR,HIC,37.6,5.0,,20.4,60.9,0,0,1,18.0531086925,79.2438087475,9.460809947500001,3830.2716893738652,11.245,3.4812499999999997,40464.275831629275,10.60817478560333,80.48597560975612,7.37147,2013,1,1,30.21,1,1
FRA,France,France (23 registries)‡,EUR,HIC,27.2,7.7,,38.3,46.1,0,0,0,11.1001055225,69.73792839000001,11.279181240000002,4274.13960772767,8.785,3.1910000000000003,37668.07626584745,10.536568231313245,81.99146341463415,7.51268,2013,1,1,29.61,1,1
GBR,United Kingdom,UK (four registries)*,EUR,HIC,26.3,6.6,,30.3,53.0,0,0,1,14.110807179999998,81.08071899250001,9.86725378,3750.8384625847,8.5755,2.67975,37998.02004637146,10.545289333308205,80.81585365853658,5.03673,2013,1,1,32.61,0,1
GIB,Gibraltar,Gibraltar*,EUR,HIC,,,,,,0,0,1,,,,,,,,,,,,,,15.00,0,1
GLP,Guadeloupe,Guadeloupe*,AMR,HIC,9.6,0.0,§,,,1,1,0,,,,,,,,,,,,,,28.00,1,1
HKG,Hong Kong SAR,Hong Kong*,WPR,HIC,,,,,,0,0,1,,,,,6.913,,51785.553549100674,10.854866500337302,83.41274390243903,,,,,3.51,0,1
HRV,Croatia,Croatia*,EUR,HIC,42.2,8.7,,26.4,44.3,0,0,1,11.5785050375,83.3832283025,7.395254015,1573.218830966005,6.016249999999999,2.955,21344.671110994503,9.968557390827606,76.99756097560977,3.03051,2013,1,1,21.32,1,1
IND,India,India (two registries),SEAR,LMC,30.0,0.6,,18.7,,0,1,0,64.8707103725,26.53502512,3.4153490075,158.356562664925,1.03775,,4623.788710030352,8.438969715110614,67.84,0.4089,2013,0,0,0.16,1,1
IRL,Ireland,Ireland*,EUR,HIC,34.5,5.0,,29.6,48.9,0,0,1,13.616046667500001,72.9058666225,10.379365685,4790.64249857596,13.094999999999999,4.027,46075.72746832862,10.738041571199679,80.82134146341463,3.89006,2013,1,1,33.97,0,1
IRN,Iran,Iran (Golestan),EMR,UMC,,,,,,0,0,0,54.93560505,34.28156661999999,6.062185524999999,1032.0706731350763,1.902,,17784.9591177584,9.786108385687667,74.87475,0.85219,2013,1,0,0.90,1,1
ISL,Iceland,Iceland*,EUR,HIC,29.2,3.4,,,,0,0,1,18.41156769,80.0976009375,8.2685360925,3452.535188894508,15.8075,3.56475,41778.743322613525,10.640142956214284,82.30853658536584,6.06916,2013,1,1,30.41,0,1
ISR,Israel,Israel*,EUR,HIC,32.8,6.4,,29.7,54.4,0,0,1,23.408391475000002,62.8540449125,6.8847323650000005,2292.694150727235,5.21575,3.5025,32020.2487738356,10.374123755847059,81.7548780487805,3.36215,2013,1,1,11.46,1,1
ITA,Italy,Italy (45 registries),EUR,HIC,28.8,8.3,,26.2,46.8,0,0,0,21.9670619975,76.50116539,8.7989761825,3174.09627595565,5.36725,3.82025,36026.695934688054,10.492015496364457,82.28841463414633,6.41086,2013,1,1,18.62,1,1
JOR,Jordan,Jordan*,EMR,UMC,32.9,23.1,§,36.7,55.9,1,0,0,21.6183538425,65.02892398750001,7.82556331,754.7523694299532,3.589,2.2809999999999997,9650.927221601869,9.17480927485724,74.02375,0.82488,2013,1,0,0.49,1,1
