iso3,country,oop_pct_che,oop_pct_che_n_obs,gov_pct_che,gov_pct_che_n_obs,che_pct_gdp,che_pct_gdp_n_obs,che_pc_ppp_usd,che_pc_ppp_usd_n_obs,nurses_per_1000,nurses_per_1000_n_obs,physicians_per_1000,physicians_per_1000_n_obs,gdp_pc_ppp_usd,gdp_pc_ppp_usd_n_obs,life_expectancy,life_expectancy_n_obs,uhc_service_cov_index,uhc_service_cov_index_n_obs
KWT,Kuwait,14.4468181125,4,84.0259037025,4,2.45821047,4,1921.086569998865,4,6.4735,4,2.494,4,78280.78430069656,4,78.2288231707317,4,,0
LTU,Lithuania,30.10851717,4,68.40696144,4,6.4772587999999995,4,1498.1115769287876,4,7.80775,4,4.1345,4,22110.4213737704,4,73.65243902439028,4,,0
LVA,Latvia,36.944327355,4,61.0110473625,4,5.841646194999999,4,1131.352723243635,4,5.1205,4,3.14375,4,18485.984701000998,4,73.7048780487805,4,,0
MAR,Morocco,53.5664730075,4,33.734542845,4,5.3601000325,4,392.1959248636125,4,0.97,1,0.631,1,7243.1314697265625,4,71.46875,4,,0
MLI,Mali,46.465365410000004,4,15.240566967500001,4,4.102446855,4,69.86768604083827,4,0.37399999999999994,3,0.10525000000000001,4,2026.83418639959,4,56.526999999999994,4,,0
MLT,Malta,32.125301359999995,4,65.5539608,4,8.192287205,4,2515.965786150995,4,6.99625,4,3.19775,4,30547.355089044802,4,81.1591463414634,4,,0
MNG,Mongolia,32.166964054999994,4,60.371516227499995,4,3.8182245499999996,4,359.9943294396912,4,3.7545,4,2.967,4,9246.88823834633,4,69.30329268292685,4,,0
MTQ,Martinique,,0,,0,,0,,0,,0,,0,,0,,0,,0
MUS,Mauritius,52.545479772499995,4,42.879652975,4,4.4025836,4,732.4800813607392,4,2.90725,4,1.37425,4,17124.458271053598,4,73.52865853658537,4,,0
MYS,Malaysia,33.7091169375,4,53.534700395,4,3.3624736675,4,746.0165857498334,4,3.559,4,1.3165,4,21829.300484914173,4,75.47,4,,0
NGA,Nigeria,73.84342384,4,14.636407375000001,4,3.3494620325,4,159.09538121828476,4,1.132,2,0.363,1,6640.378779034825,4,51.58,4,,0
NLD,Netherlands,10.0509037975,4,68.565704345,4,10.299261807499999,4,4893.154372888333,4,12.07,4,3.136,4,47395.1996955328,4,81.07926829268293,4,,0
NOR,Norway,14.9126441475,4,84.72044754000001,4,8.797263622500001,4,5617.369503370435,4,16.97,4,4.21,4,63456.37562069632,4,81.37378048780488,4,,0
NZL,New Zealand,11.8076224325,4,78.27290916499999,4,9.086094857500001,4,3025.7822784945297,4,10.6225,4,2.70375,4,33340.47919958657,4,81.21829268292683,4,,0
PER,Peru,38.5029163325,4,52.85406589499999,4,4.66753018,4,495.482529198772,4,1.8665,2,1.139,1,10555.910660095604,4,73.69575,4,,0
POL,Poland,23.89463091,4,70.62482643,4,6.3397870075,4,1457.28002373387,4,6.4835,4,2.2097500000000005,4,22990.363719016976,4,76.67195121951217,4,,0
PRI,Puerto Rico,,0,,0,,0,,0,,0,,0,31740.758852699626,4,79.26474999999999,4,,0
