n,pearson_r,pearson_p,pearson_lo,pearson_hi,spearman_r,spearman_p,spearman_lo,spearman_hi,n_required_for_80pct_power,indicator,column,pearson_q_bh_within_outcome,spearman_q_bh_within_outcome
34,-0.1992819950276409,0.25851045247006993,-0.5795083910129291,0.2631727763959922,-0.2834441142048719,0.10428177570871891,-0.6016440298480926,0.09631114270504548,196,Out-of-pocket expenditure (% CHE),oop_pct_che,0.7634063740935564,0.347605919029063
34,0.15270112993803286,0.38859904585161226,-0.23109644627346201,0.4766908268027105,0.045076018161960774,0.8001650919730658,-0.31292159241339,0.3827278480098092,335,Government health expenditure (% CHE),gov_pct_che,0.7634063740935564,0.8890723244145176
34,0.18172368648376067,0.30367537211672624,-0.14277525531671356,0.5399937923316108,0.32821453224370084,0.05807987340469047,-0.04254303462304981,0.6410256539696159,236,Current health expenditure (% GDP),che_pct_gdp,0.7634063740935564,0.29039936702345237
34,0.09050517785402244,0.6107250992748451,-0.2266308654250049,0.4580272544001388,0.205210482683096,0.24431972136648497,-0.14101685981643536,0.5200143341187131,956,Current health expenditure per capita (PPP USD),che_pc_ppp_usd,0.7634063740935564,0.48863944273297
34,0.09949186283185103,0.5755988677924191,-0.20693728537700182,0.42419858608946454,0.1836656740022944,0.29844872021656865,-0.17364207364813516,0.5037633767686678,791,Nurses and midwives per 1000 population,nurses_per_1000,0.7634063740935564,0.49741453369428107
32,0.11206673394464252,0.5414302301422445,-0.13433654385483773,0.3601664179754727,0.08706809678213939,0.6356159279491247,-0.2368377949613634,0.40437801985139177,623,Physicians per 1000 population,physicians_per_1000,0.7634063740935564,0.7945199099364059
35,-0.03238997550364629,0.8534558944200192,-0.3437438465564214,0.36812961902402486,0.08670074956481219,0.6204344867657872,-0.2475846089032439,0.42390679802154224,7480,GDP per capita (PPP USD),gdp_pc_ppp_usd,0.9418296186883648,0.7945199099364059
35,0.012798584243947721,0.9418296186883648,-0.4754680673378626,0.4794308199685145,0.01414664895968664,0.9357146366532043,-0.3375534752820504,0.37895946931068886,47915,Life expectancy at birth (years),life_expectancy,0.9418296186883648,0.9357146366532042
34,0.0913618233653247,0.6073379643920482,-0.21688922770566374,0.4315212395071887,0.2188096881624672,0.2137653757204809,-0.14667381904703886,0.5524379931413963,939,Radiotherapy units per million population,radiotherapy_units_per_million,0.7634063740935564,0.48863944273297
36,0.16851262741806566,0.3258820246889224,-0.15352983888499117,0.5373632941645854,0.3317029218689663,0.048117045192516826,-0.014366007762474422,0.6249142530926811,275,Morphine consumption (mg/capita/year),morphine_consumption_mg_per_capita,0.7634063740935564,0.29039936702345237
