n,r,p,lo,hi,rho,rho_p,indicator,column,q_bh_within
23,-0.0022718967041321907,0.9917915157690504,-0.5662636727842839,0.4319857602750577,-0.12252964426877472,0.5775498352323445,Out-of-pocket expenditure (% CHE),oop_pct_che,0.9917915157690504
23,-0.10869750401895374,0.6215242637559188,-0.5293157230756923,0.2067070425753344,-0.17490118577075098,0.42475381171610027,Government health expenditure (% CHE),gov_pct_che,0.6905825152843543
23,0.245023339151376,0.2598085243067268,-0.2271428901157887,0.6175762540684184,0.1600790513833992,0.4656193711578117,Current health expenditure (% GDP),che_pct_gdp,0.3711550347238954
23,0.35411040344380773,0.09736438884704411,-0.10574974514436924,0.7330960345000188,0.37549407114624506,0.07745523146339542,Current health expenditure per capita (PPP USD),che_pc_ppp_usd,0.29724594323364073
23,0.3472664594288443,0.10447312491875098,-0.11202829709749795,0.6896027396127528,0.2549407114624506,0.2403974496421714,Nurses and midwives per 1000 population,nurses_per_1000,0.29724594323364073
23,0.334366365159957,0.1188983772934563,-0.14362588837098297,0.644073133495102,0.3092885375494071,0.1509829289558702,Physicians per 1000 population,physicians_per_1000,0.29724594323364073
23,0.389342573179864,0.06630962247123638,-0.11379059976698669,0.7707601764758389,0.3636363636363636,0.08807448930807436,GDP per capita (PPP USD),gdp_pc_ppp_usd,0.29724594323364073
23,0.27006186825148215,0.21266918500116594,-0.1946869047766165,0.6714850434504769,0.3339920948616601,0.11933740941269359,Life expectancy at birth (years),life_expectancy,0.3544486416686099
23,0.2906523016454328,0.17848102827240622,-0.12451445465718959,0.6614721195128568,0.3270750988142293,0.1276643996739387,Radiotherapy units per million population,radiotherapy_units_per_million,0.3544486416686099
23,0.2201181945847316,0.3128653337036984,-0.2899177407919551,0.7071279421589315,0.25,0.24994590679180834,Morphine consumption (mg/capita/year),morphine_consumption_mg_per_capita,0.391081667129623
