outcome,indicator,test,p,estimate,n,q_bh_family_wide
diffuse_anap,Nurses and midwives per 1000 population,Spearman,0.29844872021656865,0.1836656740022944,34,0.7136371244743066
diffuse_anap,Physicians per 1000 population,Pearson,0.5414302301422445,0.11206673394464252,32,0.892884940936333
diffuse_anap,Physicians per 1000 population,Spearman,0.6356159279491247,0.08706809678213939,32,0.9052711701093594
diffuse_anap,GDP per capita (PPP USD),Pearson,0.8534558944200192,-0.03238997550364629,35,0.943821812652727
diffuse_anap,GDP per capita (PPP USD),Spearman,0.6204344867657872,0.08670074956481219,35,0.9052711701093594
diffuse_anap,Life expectancy at birth (years),Pearson,0.9418296186883648,0.012798584243947721,35,0.9623041756163727
diffuse_anap,Life expectancy at birth (years),Spearman,0.9357146366532043,0.01414664895968664,35,0.9623041756163727
diffuse_anap,Radiotherapy units per million population,Pearson,0.6073379643920482,0.0913618233653247,34,0.9052711701093594
diffuse_anap,Radiotherapy units per million population,Spearman,0.2137653757204809,0.2188096881624672,34,0.6073558392453955
diffuse_anap,Morphine consumption (mg/capita/year),Pearson,0.3258820246889224,0.16851262741806566,36,0.72478377521968
diffuse_anap,Morphine consumption (mg/capita/year),Spearman,0.048117045192516826,0.3317029218689663,36,0.5887076073717684
diffuse_anap,Radiotherapy density meets IAEA threshold,Mann-Whitney,0.8099011971649611,0.30000000000000426,34,0.9279834207980179
diffuse_anap,Oral morphine available in public sector (2013),Mann-Whitney,0.7441293308975763,-0.3999999999999986,33,0.9279834207980179
diffuse_anap,Right to health in constitution,Mann-Whitney,0.21071548896454062,-2.5,36,0.6073558392453955
diffuse_anap,ICESCR ratified,Mann-Whitney,,5.699999999999999,36,
oligo,Out-of-pocket expenditure (% CHE),Pearson,0.6575575551624175,0.08013196355852927,33,0.9125583443618237
oligo,Out-of-pocket expenditure (% CHE),Spearman,0.7089200268066291,-0.06751336898395723,33,0.9255344794419881
oligo,Government health expenditure (% CHE),Pearson,0.17358936136466524,-0.24267657624564934,33,0.5887076073717684
