n,pearson_r,pearson_p,pearson_lo,pearson_hi,spearman_r,spearman_p,spearman_lo,spearman_hi,n_required_for_80pct_power,indicator,column,pearson_q_bh_within_outcome,spearman_q_bh_within_outcome
33,0.08013196355852927,0.6575575551624175,-0.23373193953289106,0.3632984918084721,-0.06751336898395723,0.7089200268066291,-0.3890184246027612,0.2732594434754901,1221,Out-of-pocket expenditure (% CHE),oop_pct_che,0.6575575551624175,0.7876889186740323
33,-0.24267657624564934,0.17358936136466524,-0.5320916616626141,0.03491264274812217,-0.28241978609625673,0.11128745460033404,-0.5828580318049004,0.07700368879946302,132,Government health expenditure (% CHE),gov_pct_che,0.2684077237257303,0.3719580043698388
33,0.1978855222377947,0.2696388862981575,-0.12117732180090868,0.4586729156754633,0.134024064171123,0.45712590304009937,-0.23111610152105747,0.45491445823549137,199,Current health expenditure (% GDP),che_pct_gdp,0.3370486078726969,0.5714073788001242
33,0.30856933965726785,0.08060825785230209,-0.026414788756420914,0.584311875821396,0.28409090909090906,0.10909740422558246,-0.06952973686543786,0.6112907092217053,81,Current health expenditure per capita (PPP USD),che_pc_ppp_usd,0.2684077237257303,0.3719580043698388
33,0.25467572937236826,0.15263140728637414,-0.10238917050276468,0.5678896460081032,0.1661096256684492,0.35555163444125915,-0.18698939332491846,0.48997729247001626,119,Nurses and midwives per 1000 population,nurses_per_1000,0.2684077237257303,0.507930906344656
32,0.08932862453006568,0.6268336312231685,-0.25381620001099986,0.38508071748133366,0.04545454545454545,0.8048872299009385,-0.3119124493779888,0.40250195485883106,982,Physicians per 1000 population,physicians_per_1000,0.6575575551624175,0.8048872299009385
34,0.23141568912733318,0.1878854066080112,-0.0743969654460224,0.5243730891321255,0.2323911382734912,0.1859790021849194,-0.11920691037025717,0.5587044259037957,145,GDP per capita (PPP USD),gdp_pc_ppp_usd,0.2684077237257303,0.3719580043698388
34,0.24520305379588306,0.16219354800601418,-0.11217947472123302,0.5652965737968891,0.16638655462184873,0.3469709562221872,-0.22729535013225674,0.4781848842557104,129,Life expectancy at birth (years),life_expectancy,0.2684077237257303,0.507930906344656
33,0.24826086165727818,0.1635952186607305,-0.08149574357394139,0.5314858714004538,0.25133689839572193,0.1582695572881863,-0.12283274153475932,0.5611141251672502,126,Radiotherapy units per million population,radiotherapy_units_per_million,0.2684077237257303,0.3719580043698388
35,0.2555317665431522,0.13845552131857725,-0.07061668943431733,0.5312583599694826,0.2340500040756077,0.1759741409024008,-0.07546176334254626,0.5264320630325077,118,Morphine consumption (mg/capita/year),morphine_consumption_mg_per_capita,0.2684077237257303,0.3719580043698388
