n,beta,se,p,beta_covariate,p_covariate,r2,indicator,column
40,0.13735098420378833,0.1534174903114319,0.37063961131201095,4.103860373830907,0.1524581906436216,0.1035837874587634,Out-of-pocket expenditure (% CHE),oop_pct_che
40,-0.04581849302143605,0.08251007261328538,0.5786840938652958,2.6629087383894343,0.16891267499373197,0.06148728371334666,Government health expenditure (% CHE),gov_pct_che
40,-0.039569695553290374,0.3407133960748808,0.9075433516580983,2.3002445093962667,0.1285538229840641,0.04922617213845926,Current health expenditure (% GDP),che_pct_gdp
40,0.00044515092981110474,0.0006314993553924697,0.48086553778196106,1.1295132452638605,0.5456505957358064,0.05788062849251974,Current health expenditure per capita (PPP USD),che_pc_ppp_usd
40,0.1630539300680237,0.25263081967167256,0.5186526189506359,1.3475141585211956,0.47091900823793886,0.05550907656294635,Nurses and midwives per 1000 population,nurses_per_1000
38,-0.6320923923308719,1.374676499479956,0.6456513561580436,3.5501490649539034,0.047306929807780354,0.06691381152472253,Physicians per 1000 population,physicians_per_1000
41,-0.34143401826191583,0.6228921467268064,0.5835936637710597,3.862453104953649,0.20732107189742932,0.06626984374708345,Life expectancy at birth (years),life_expectancy
40,0.2805182546956453,0.31457148423839987,0.37252842358288496,1.2946363211147114,0.45824609471408284,0.06124304070712239,Radiotherapy units per million population,radiotherapy_units_per_million
41,0.06199139208291854,0.0503654456617158,0.2183857797694726,0.9965307252202618,0.584093122381822,0.08003991254815523,Morphine consumption (mg/capita/year),morphine_consumption_mg_per_capita
