n,pearson_r,pearson_p,pearson_lo,pearson_hi,spearman_r,spearman_p,spearman_lo,spearman_hi,n_required_for_80pct_power,indicator,column
22,0.13307702543955816,0.5549309749146722,-0.35754155529306647,0.48034325838863123,-0.009599096555618296,0.9661826982649286,-0.43978862475492725,0.42174538529381417,441,Out-of-pocket expenditure (% CHE),oop_pct_che
22,-0.29411509160607485,0.1839771703335706,-0.6037445011860736,0.05446772098394218,-0.2874082439299831,0.19465047863325086,-0.7105536594615094,0.18366601393889603,89,Government health expenditure (% CHE),gov_pct_che
22,0.07386685598022737,0.7439031365060749,-0.3102936954161064,0.43494327693165635,-0.010728402032749858,0.9622067945199976,-0.463638952164009,0.4392004439095562,1437,Current health expenditure (% GDP),che_pct_gdp
22,0.28688336749289634,0.19550307180240478,-0.2177823983471644,0.7135574347688217,0.2896668548842462,0.19101038587926442,-0.24923717584705654,0.758751368903004,94,Current health expenditure per capita (PPP USD),che_pc_ppp_usd
22,0.22713039115382977,0.3093842693511309,-0.29827869725649914,0.6404472671137756,0.07848673066064371,0.7284539754064998,-0.3746221399829647,0.5099273932512729,150,Nurses and midwives per 1000 population,nurses_per_1000
22,0.09926767776643809,0.6602872191873795,-0.4099616958832582,0.4746653331402697,0.0378317334839074,0.8672536652027346,-0.4254714679536282,0.4777188594345507,795,Physicians per 1000 population,physicians_per_1000
23,0.2108805146186381,0.33410978220900917,-0.22440083571401587,0.598133724662309,0.19071146245059292,0.3833965923148731,-0.2865937451342394,0.6238197987328659,175,GDP per capita (PPP USD),gdp_pc_ppp_usd
23,0.35054564311635344,0.10102094137269486,-0.12450741932961636,0.7919579522699041,0.38241106719367585,0.07172412485756548,-0.12050060950228936,0.7604809754559436,62,Life expectancy at birth (years),life_expectancy
22,0.24167672219178557,0.27856015180001886,-0.2438651859676616,0.7413759611701877,0.3201581027667985,0.1463415037832898,-0.17738887486779334,0.7677925996007849,133,Radiotherapy units per million population,radiotherapy_units_per_million
24,0.12685386785744454,0.5547392970625606,-0.3031162271664036,0.5714837090805753,0.1208695652173913,0.5737097351958667,-0.3030612439142573,0.5498028909329825,486,Morphine consumption (mg/capita/year),morphine_consumption_mg_per_capita
