n,pearson_r,pearson_p,pearson_lo,pearson_hi,spearman_r,spearman_p,spearman_lo,spearman_hi,n_required_for_80pct_power,indicator,column,pearson_q_bh_within_outcome,spearman_q_bh_within_outcome
39,0.11859722755141687,0.47208777312483075,-0.4441977093485866,0.6217925971725787,-0.04718509905042871,0.7754583908490978,-0.40494708801570817,0.3267620636274623,556,Out-of-pocket expenditure (% CHE),oop_pct_che,0.5901097164060385,0.9069722873884514
39,-0.051016928550590174,0.7577508174543388,-0.49393330958709236,0.403804100447664,-0.0506277886807175,0.7595437195524132,-0.40704988742106146,0.3122163289668132,3014,Government health expenditure (% CHE),gov_pct_che,0.7577508174543388,0.9069722873884514
39,-0.257875705779307,0.11297166639508092,-0.5858311099820362,0.26701644644562483,-0.10824221219937404,0.5118815789581308,-0.46868355509927045,0.2873822656847542,116,Current health expenditure (% GDP),che_pct_gdp,0.5901097164060385,0.9069722873884514
39,-0.12156501779977089,0.4609922161225763,-0.4038905502051893,0.2793377717427259,-0.03392061841608073,0.8375713992201358,-0.38894595581490293,0.3233110916762514,529,Current health expenditure per capita (PPP USD),che_pc_ppp_usd,0.5901097164060385,0.9069722873884514
39,-0.15504417047735497,0.3459551444486379,-0.42573397969040777,0.19927416349504953,-0.10236938871241079,0.5351726055738635,-0.469486011154424,0.2756767186374081,325,Nurses and midwives per 1000 population,nurses_per_1000,0.5901097164060385,0.9069722873884514
37,-0.23671237183986296,0.15836717718315715,-0.5576854856675337,0.169647718900135,-0.20540799275192773,0.2226088951188005,-0.5622193077500881,0.18658170440563526,138,Physicians per 1000 population,physicians_per_1000,0.5901097164060385,0.9069722873884514
40,0.21703356594216602,0.1785565340277884,-0.26533687637115855,0.6614395048368994,0.12368619490029156,0.44702657071141505,-0.24008960346243477,0.44630093576796787,165,GDP per capita (PPP USD),gdp_pc_ppp_usd,0.5901097164060385,0.9069722873884514
40,-0.07876680454892222,0.6290105339443761,-0.4956634212420722,0.4103886328212586,-0.06841216698202773,0.6748884536739268,-0.4060818718373951,0.2767046777790565,1263,Life expectancy at birth (years),life_expectancy,0.698900593271529,0.9069722873884514
39,-0.1259964528050452,0.4446881190953414,-0.4111912692209149,0.276650247671479,0.019339815276034088,0.9069722873884514,-0.33977860720420056,0.38169146330940634,493,Radiotherapy units per million population,radiotherapy_units_per_million,0.5901097164060385,0.9069722873884514
42,-0.15956025880919888,0.31280815250123106,-0.40898978289851196,0.23307622136565365,-0.03631647402330903,0.8193896162365477,-0.3806073205179984,0.3468495584483568,307,Morphine consumption (mg/capita/year),morphine_consumption_mg_per_capita,0.5901097164060385,0.9069722873884514
