n,pearson_r,pearson_p,pearson_lo,pearson_hi,spearman_r,spearman_p,spearman_lo,spearman_hi,n_required_for_80pct_power,indicator,column
24,0.14651696797836553,0.4945013928072481,-0.17683947849539708,0.6988860265080149,0.1766754367991958,0.4088890138112383,-0.23845650076833508,0.5731481376486681,364,Out-of-pocket expenditure (% CHE),oop_pct_che
24,-0.14611913772480764,0.49568696498257936,-0.7591444849774606,0.2998216246056991,-0.28328992452284846,0.1797851483492555,-0.6629465691335232,0.13363996992842989,366,Government health expenditure (% CHE),gov_pct_che
24,-0.7066540912204545,0.00011342365304305861,-0.8625965747340745,-0.24903458566887396,-0.5243692151306182,0.008527911418400093,-0.7923767314367163,-0.10525108909949664,14,Current health expenditure (% GDP),che_pct_gdp
24,-0.3733201696879934,0.07235786966972198,-0.5747983872204109,-0.1747882035099728,-0.4360314967310202,0.033172515094710656,-0.6669956026621571,-0.11689448839144076,55,Current health expenditure per capita (PPP USD),che_pc_ppp_usd
24,-0.4194470218889659,0.04131425496796768,-0.7121576471010928,-0.17818280578806509,-0.5818104901490759,0.0028605025197543216,-0.8122524354207463,-0.20480025597002016,43,Nurses and midwives per 1000 population,nurses_per_1000
24,-0.45608158526530085,0.025091402038704875,-0.7316391160208198,-0.2276616845384633,-0.5748479113589599,0.0032999543701307562,-0.8144008224887782,-0.21512953324848302,36,Physicians per 1000 population,physicians_per_1000
25,0.44844491174983336,0.02455340699421193,-0.43347309730214,0.7443537922034414,-0.046574301714384606,0.8250387412783267,-0.4643737572160073,0.37859945818450097,37,GDP per capita (PPP USD),gdp_pc_ppp_usd
25,-0.20791283425806878,0.31862089080630174,-0.5128692475036649,0.11654706159809496,-0.21785995677968337,0.29548518868812146,-0.6303653827735254,0.21720540940070504,180,Life expectancy at birth (years),life_expectancy
24,-0.5321589971824009,0.00743421110126059,-0.7395894066929899,-0.14110998929786372,-0.433855690859109,0.03416132125940423,-0.7086504162327729,-0.02624172981711481,26,Radiotherapy units per million population,radiotherapy_units_per_million
27,-0.4395697152313579,0.02177952029262411,-0.6638719054004382,-0.08275178959887486,-0.3980450221438974,0.039754938933854414,-0.7138099641108103,0.04673901227915538,39,Morphine consumption (mg/capita/year),morphine_consumption_mg_per_capita
