n,beta,se,p,beta_covariate,p_covariate,r2,indicator,column
34,-0.13734952914167312,0.13791358811739088,0.3192938493121623,-0.9344908092335271,0.688769301085981,0.04387505364808297,Out-of-pocket expenditure (% CHE),oop_pct_che
34,0.06582977672332645,0.09022551048921369,0.46562629019077983,0.30862697076480156,0.9149423549384297,0.023967882108845595,Government health expenditure (% CHE),gov_pct_che
34,0.5513145836118659,0.4551707091317659,0.2258088122291254,-0.824411565871665,0.8196897199268622,0.036162403083549566,Current health expenditure (% GDP),che_pct_gdp
34,0.00036823036389885277,0.0013377444787844076,0.7831148745457785,-0.16078607155355634,0.9804219238816589,0.008260475440020176,Current health expenditure per capita (PPP USD),che_pc_ppp_usd
34,0.19715974993331983,0.47510232510443356,0.6781537906439896,-0.2555539208787355,0.9628080858754032,0.01009759536739463,Nurses and midwives per 1000 population,nurses_per_1000
32,2.1806709906410733,1.1831316172559943,0.06530933963848173,-4.785551559577382,0.1084335872136352,0.0880698481867872,Physicians per 1000 population,physicians_per_1000
35,-0.3741955007327864,1.0046568772787088,0.7095496473021339,2.6366935095969226,0.5600237383564248,0.012866083374565851,Life expectancy at birth (years),life_expectancy
34,0.20558825420161242,0.6884011463091085,0.7652101572469746,0.04963094294869647,0.9921303403057035,0.00835593759612041,Radiotherapy units per million population,radiotherapy_units_per_million
35,0.05694826721211945,0.07699948977297624,0.45954711988588126,-0.4099551335711603,0.9275434742079095,0.022001599659629667,Morphine consumption (mg/capita/year),morphine_consumption_mg_per_capita
