n,r,p,lo,hi,rho,rho_p,indicator,column,q_bh_within
24,0.13713717690953078,0.522824576347246,-0.5526474566238838,0.6204761843061916,-0.1456838477579135,0.49698578516079783,Out-of-pocket expenditure (% CHE),oop_pct_che,0.9911112438815831
24,-0.12872902213098655,0.5488543113978149,-0.6092989905115157,0.16414092368644817,-0.09915199190687844,0.6448333768820709,Government health expenditure (% CHE),gov_pct_che,0.9911112438815831
24,0.00240232307351651,0.991111243881583,-0.4369237524049437,0.5980266297349422,0.21656882442818184,0.3094121208219955,Current health expenditure (% GDP),che_pct_gdp,0.9911112438815831
24,-0.00920025069049818,0.9659674047312274,-0.42698958248824603,0.5380855805920309,0.1265492528285159,0.5556980021556458,Current health expenditure per capita (PPP USD),che_pc_ppp_usd,0.9911112438815831
24,-0.033088346197498925,0.8780140407333495,-0.3627357354490772,0.35835772415156214,0.08349641423737131,0.6980979683965923,Nurses and midwives per 1000 population,nurses_per_1000,0.9911112438815831
24,0.15078408514147235,0.4818742125599063,-0.1839783343886349,0.44834632183956624,0.12307023556862544,0.5667003854361811,Physicians per 1000 population,physicians_per_1000,0.9911112438815831
24,-0.05237232488306642,0.8079738621123963,-0.412532745984913,0.44085058857159987,0.130898024403379,0.542083078884666,GDP per capita (PPP USD),gdp_pc_ppp_usd,0.9911112438815831
24,-0.2364403203959155,0.26598973386099733,-0.6239130816203217,0.39861027865300314,-0.003479017259890471,0.9871276750543634,Life expectancy at birth (years),life_expectancy,0.9911112438815831
24,-0.01625521100974922,0.9399064122062701,-0.41590815474271703,0.4446433716216137,0.16525331984479738,0.4403021291680044,Radiotherapy units per million population,radiotherapy_units_per_million,0.9911112438815831
24,-0.032456865859541745,0.8803256296544845,-0.4509939911458287,0.5553028746817575,0.15220700512020813,0.477700122008505,Morphine consumption (mg/capita/year),morphine_consumption_mg_per_capita,0.9911112438815831
