n,pearson_r,pearson_p,pearson_lo,pearson_hi,spearman_r,spearman_p,spearman_lo,spearman_hi,n_required_for_80pct_power,indicator,column
22,0.003656719560993107,0.9871144527723202,-0.5517285355939353,0.534592589113461,-0.14059853190287974,0.5325726782933646,-0.571804866018989,0.3862801886749741,586980,Out-of-pocket expenditure (% CHE),oop_pct_che
22,0.04232166628540153,0.8516588880493315,-0.4622485750489185,0.4196353053281891,0.09090909090909091,0.6874290975505297,-0.3685736622249189,0.541435506490001,4380,Government health expenditure (% CHE),gov_pct_che
22,-0.03250293594927716,0.8858236605376557,-0.49892417990568466,0.5118085791164536,0.13043478260869568,0.5628843446021313,-0.3827087379645457,0.6074347332576608,7428,Current health expenditure (% GDP),che_pct_gdp
22,-0.09412789854339283,0.6769307741659712,-0.49041136198894336,0.5327704189865046,0.06267645398080182,0.7817104249303759,-0.43174829157175393,0.5435660457060376,884,Current health expenditure per capita (PPP USD),che_pc_ppp_usd
22,-0.05631385835416851,0.8034269625589678,-0.4138700242012221,0.3976824242953069,0.09768492377188029,0.6653964075322027,-0.37116913025026227,0.5444290481344046,2473,Nurses and midwives per 1000 population,nurses_per_1000
22,0.18945403418368584,0.3984266756843031,-0.09599338647334271,0.47604538796100543,0.1981931112365895,0.3766085869146165,-0.19017843620470298,0.5963783289332615,217,Physicians per 1000 population,physicians_per_1000
23,-0.231866585895746,0.2870683350013074,-0.5308441096565202,0.245454269729678,-0.04051383399209487,0.8543766254269087,-0.46667334669338684,0.4176342809651975,144,GDP per capita (PPP USD),gdp_pc_ppp_usd
23,-0.41099587417523187,0.05138774332824056,-0.7274894964599238,0.20314962137537823,-0.10177865612648221,0.6440123994143262,-0.526869681069075,0.37240103395339325,45,Life expectancy at birth (years),life_expectancy
22,-0.05208007924732925,0.8179565549639686,-0.4580411402357765,0.5042886208334401,0.15979672501411638,0.4774887142899461,-0.32879403022829323,0.6626476693734282,2892,Radiotherapy units per million population,radiotherapy_units_per_million
24,0.05906746963181453,0.7839602220360702,-0.3343173003102473,0.628372330219452,0.32956521739130434,0.11580045288804089,-0.1315987790577361,0.7397419052808496,2248,Morphine consumption (mg/capita/year),morphine_consumption_mg_per_capita
